site,Es_var,r_swc,p_swc,s_swc,i_swc,r_vpd,p_vpd,s_vpd,i_vpd,r_sw,p_sw,s_sw,i_sw,r_ta,p_ta,s_ta,i_ta
ESP_ALT_HUE,Qfa_Es_mm_day_y,-0.6359866318871534,0.019461326181153486,-2.2733338322131256,0.8148431858084371,0.7452393686332555,0.003460415915308651,0.08865269171067018,0.5938120890642165,-0.12579856028415712,0.6821696097631466,-0.0002089493873384857,0.8628416497642195,0.7956858129900192,0.0011422531335204822,0.01111013102360953,0.5061608112732378
ESP_CAN,Aun_Es_mm_day_y,0.620515107447163,5.2011766507771894e-14,0.29563255189024895,0.0015397663094532457,-0.12284849394841924,0.1831820641137412,-0.003589849792868532,0.04809806613435852,0.28610454589281503,0.0016088501242653166,5.828845833595488e-05,0.008913568099266647,-0.20330569889218664,0.026581582042690878,-0.0014808201033212742,0.08018385798905875
ESP_CAN,Pha_Es_mm_day_y,0.8919917352547357,2.436772777847661e-38,2.844645528611588,-0.2687810421644118,-0.36698546425596645,9.35784849439159e-05,-0.0774613389676703,0.2533189904323946,0.05025974083823702,0.6054609300665852,7.725571262960614e-05,0.08433478313429187,-0.3720974313639664,7.329849999584594e-05,-0.019073178602613514,0.6143731327683981
ESP_CAN,Qil_Es_mm_day_y,0.7507456763857173,8.332810817284805e-23,9.401350964163296,-0.0732759655136832,-0.23746468774746388,0.009311568017692019,-0.18239083464192382,1.5179177220520346,0.27150184693681184,0.00281925848860059,0.0014538785601214959,0.3900354211497128,-0.38884359826989984,1.2409382123673587e-05,-0.0744432347014578,3.127805055697973
ESP_CAN,Qpu_Es_mm_day_y,0.6474365818949911,1.768032010399389e-15,1.9381995834269312,0.007181715369604547,-0.3499196180576372,9.581617191444888e-05,-0.0642504392125811,0.3784223972812111,-0.015964639930999693,0.8631809400362229,-2.0437054687844095e-05,0.28597041885623997,-0.3288643702932529,0.0002604732306054604,-0.015051193587171682,0.6595415294794834
ESP_TIL_MIX,Psy_Es_mm_day_y,0.7912570070979569,2.9638344511145075e-54,3.176349089281468,-0.2306904291086126,-0.021301892924744565,0.7390398417611914,-0.006994252703670997,0.21966300375630737,0.25469900237671406,5.1307358304450585e-05,0.00046640058159730884,-0.05920788003626787,-0.10632955139323712,0.09544416840790225,-0.0056781161836439616,0.33259004593606306
ESP_TIL_MIX,Qil_Es_mm_day_y,0.42806843748486156,1.9919999693575744e-12,4.8697756430598025,0.35607949363645897,0.09596137618078725,0.13258803091529572,0.08929038135558023,0.9225109621216034,0.48159032990669925,9.55532796920574e-16,0.002499163592878985,-0.4145933530641517,0.011421853987137921,0.8582488218066064,0.0017285103537397865,0.9962183212141286
ESP_TIL_OAK,Qil_Es_mm_day_y,0.7009358501967364,3.6756295642962456e-15,17.417311148722412,-1.0570263115148435,0.03578102532220496,0.732066486993192,0.06056797213093462,1.5217878092749868,0.43918968343485393,9.497323215951481e-06,0.0038099294415467073,-0.6236352930024245,-0.12331738834730901,0.23635956105876785,-0.03353597041562072,2.323206596867543
ESP_TIL_PIN,Psy_Es_mm_day_y,0.7503607611077047,1.6836419457869793e-21,4.894344580368952,-0.5306503165551838,0.13708896836843912,0.14948529122210322,0.11580474298750651,0.4355665299825554,0.35013736091916015,0.00015404248779245065,0.0016680930057962515,-0.38507790511930984,0.07202066682772329,0.4504739230694157,0.009646388907346759,0.3729987223240758
ESP_VAL_BAR,Qpu_Es_mm_day_y,-0.44360438495804627,0.00021465677447121017,-5.91745486716041,4.403325381649028,0.5540971788606472,1.681144875211367e-06,0.7917829780305892,1.5580323658799358,0.20586977180919305,0.09991912120116588,0.0027270966246533443,1.5945393491388054,0.45779061676957344,0.00012594038411040682,0.11168098164469197,0.19894386247911378
ESP_VAL_SOR,Psy_Es_mm_day_y,0.4386306900410873,0.001143284926302421,14.321366299001449,1.5761616066658513,-0.1955638019224318,0.16470908110810806,-0.35447152869198584,4.463867909293006,0.33110539395303323,0.016500414732504177,0.004531216295314259,1.6076378601278645,0.014742406516697894,0.9173833686493648,0.004922920926138102,3.9693378038164284
FIN_PET,Bpu_Es_mm_day_y,-0.14112591682488781,0.5106863119985603,-3.648750884279206,0.9436476273096306,0.4254663982010932,0.038194992744987256,0.5096719856918036,0.4025435104340878,0.5502937834941514,0.005333024576777229,0.0031853311917915132,0.2758607724604304,0.09555217078760248,0.6569432251519629,0.006451906168050708,0.540010423673928
